question,answer,category,sub_category
How does AWS Batch make it easier to use Spot Instances?,"
AWS Batch Compute Environments can be comprised of EC2 Spot Instances. When creating a Managed Compute Environment, simplify specify that you would like to use EC2 Spot Instances and provide a percentage of On-Demand pricing that you are willing to pay and AWS Batch will take care of the rest. Unmanaged Compute Environments can also include Spot Instances that you launch, including those launched by [EC2 Spot Fleet](http://web.archive.org/web/20240727090605/https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/spot-fleet.html).
",Batch,Features
What is the pricing for AWS Batch?,"
There is no additional charge for AWS Batch. You only pay for the AWS Resources (e.g. EC2 instances or AWS Fargate) you create to store and run your batch jobs.
",Batch,Pricing
Can I use accelerators with AWS Batch?,"
Yes, you can use Batch to specify the number and type of accelerators your jobs require as job definition input variables, alongside the current options of vCPU and memory. AWS Batch will scale up instances appropriate for your jobs based on the required accelerators and isolate the accelerators according to each job’s needs, so only the appropriate containers can access them.
",Batch,GPU Scheduling
Why should I use accelerators with AWS Batch?,"
By using accelerators with Batch, you can dynamically schedule and provision your jobs according to their accelerator needs, and Batch will ensure that the appropriate number of accelerators are reserved against your jobs. Batch will scale up your EC2 Accelerated Instances when you need them, and scale them down when you’re done, allowing you to focus on your applications. Batch has native integration with the EC2 Spot, meaning your accelerated jobs can take advantage of up to 90% savings when using accelerated instances.
",Batch,GPU Scheduling
What accelerators can I use with AWS Batch?,"
Currently you can use GPU’s on P and G accelerated instances.
",Batch,GPU Scheduling
How do I submit jobs requiring accelerated instances to Batch?,"
You can specify the number and type of accelerators in the Job Definition. You specify the accelerator by describing the accelerator type (e.g., GPU – currently the only supported accelerator) and the number of that type your job requires. Your specified accelerator type must be present on one of the instance types specified in your Compute Environments. For example, if your job needs 2 GPUs, also make sure that you have specified a P instance in your Compute Environment.
From the API: { ""containerProperties"": { ""vcpus"": 1, ""image"": ""nvidia/cuda:9.0-base"", ""memory"": 2048, ""resourceRequirements"" : [ { ""type"" : ""GPU"", ""value"" : ""1"" } ],
",Batch,GPU Scheduling
Can accelerator variables in the job definition be overwritten at job submission?,"
Similar to vCPU and memory requirements, you can overwrite the number and type of accelerators at job submission.
",Batch,GPU Scheduling
Can accelerated instances be used for jobs that don't need the accelerators?,"
With today's behavior, Batch will avoid scheduling jobs that do not require acceleration on accelerated instances when possible. This is to avoid cases where long-running jobs occupy the accelerated instance without taking advantage of the accelerator, increasing cost. In rare cases with Spot pricing and with accelerated instances as allowed types, it is possible that Batch will determine that an accelerated instance is the least expensive way to run your jobs, regardless of accelerator needs.
If you submit a job to a CE that only allows Batch to launch accelerated instances, Batch will run the jobs on those instances, regardless of their accelerator needs.
",Batch,GPU Scheduling
How does Batch use the ECS GPU-Optimized AMI?,"
From now on, p-type instances will launch by default with the ECS GPU-optimized AMI. This AMI contains libraries and runtimes needed to run GPU-based applications. You can always point to a custom AMI as needed when creating a CE.
",Batch,GPU Scheduling
How do I get started?,"
Follow the [Getting Started Guide](http://web.archive.org/web/20240727090605/https://docs.aws.amazon.com/batch/latest/userguide/Batch_GetStarted.html) in our documentation to get started.
",Batch,Getting started
What do I need to provision to get started?,"
There is no need to manually launch your own compute resources in order to get started. The AWS Batch web console will guide you through the process of creating your first Compute Environment and Job Queue so that you can submit your first job. Resources within your compute environment will scale up as additional jobs are ready to run and scale down as the number of runnable jobs decreases.
",Batch,Getting started
