question,answer,category,sub_category
Q: Is AWS Lambda ephemeral storage encrypted?,"
                Yes. All data stored in ephemeral storage is encrypted at rest with a key managed by AWS. 
              ",Lambda,AWS Lambda Functions
Q: What metrics can I use to monitor my AWS Lambda ephemeral storage usage?,"
You can use AWS CloudWatch Lambda Insight metrics to monitor your ephemeral storage usage. To learn more, see the AWS CloudWatch Lambda Insights [documentation](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/Lambda-Insights-metrics.html).
",Lambda,AWS Lambda Functions
"Q: When should I use Amazon S3, Amazon EFS, or AWS Lambda ephemeral storage for my serverless applications?","
If your application needs durable, persistent storage, consider using Amazon S3 or Amazon EFS. If your application requires storing data needed by code in a single function invocation, consider using AWS Lambda ephemeral storage as a transient cache. To learn more, please see [Choosing between AWS Lambda data storage options in web apps](https://web.archive.org/web/20240727065740/https://aws.amazon.com/blogs/compute/choosing-between-aws-lambda-data-storage-options-in-web-apps/).
",Lambda,AWS Lambda Functions
Q: Can I use ephemeral storage while Provisioned Concurrency is enabled for my function?,"
Yes. However, if you application needs persistent storage, consider using Amazon EFS or Amazon S3. When you enable Provisioned Concurrency for your function, your function's [initialization code](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/lambda/latest/dg/foundation-progmodel.html) runs during allocation and every few hours, as running instances of your function are recycled. You can see the initialization time in logs and [traces](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/lambda/latest/dg/services-xray.html) after an instance processes a request. However, initialization is billed even if the instance never processes a request. This Provisioned Concurrency initialization behavior may affect how your function interacts with data you store in ephemeral storage, even when your function isn’t processing requests. To learn more about Provisioned Concurrency, please see the relevant [documentation](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/lambda/latest/dg/provisioned-concurrency.html).
",Lambda,AWS Lambda Functions
Q: How do I configure my application to use AWS Lambda ephemeral storage?,"
                You can configure each Lambda function with its own ephemeral storage between 512MB and 10,240MB, in 1MB increments by using the AWS Lambda console, AWS Lambda API, or AWS CloudFormation template during function creation or update. 
              ",Lambda,AWS Lambda Functions
Q: Is AWS Lambda ephemeral storage encrypted?,"
                Yes. All data stored in ephemeral storage is encrypted at rest with a key managed by AWS. 
              ",Lambda,AWS Lambda Functions
Q: What metrics can I use to monitor my AWS Lambda ephemeral storage usage?,"
You can use AWS CloudWatch Lambda Insight metrics to monitor your ephemeral storage usage. To learn more, see the AWS CloudWatch Lambda Insights [documentation](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/Lambda-Insights-metrics.html).
",Lambda,AWS Lambda Functions
Q: Why must AWS Lambda functions be stateless?,"
                Keeping functions stateless enables AWS Lambda to rapidly launch as many copies of the function as needed to scale to the rate of incoming events. While AWS Lambda’s programming model is stateless, your code can access stateful data by calling other web services, such as Amazon S3 or Amazon DynamoDB. 
              ",Lambda,AWS Lambda Functions
Q: Can I use threads and processes in my AWS Lambda function code?,"
                Yes. AWS Lambda allows you to use normal language and operating system features, such as creating additional threads and processes. Resources allocated to the Lambda function, including memory, execution time, disk, and network use, must be shared among all the threads/processes it uses. You can launch processes using any language supported by Amazon Linux. 
              ",Lambda,AWS Lambda Functions
Q: What restrictions apply to AWS Lambda function code?,"
                Lambda attempts to impose as few restrictions as possible on normal language and operating system activities, but there are a few activities that are disabled: Inbound network connections are blocked by AWS Lambda, and for outbound connections, only TCP/IP and UDP/IP sockets are supported, and ptrace (debugging) system calls are blocked. TCP port 25 traffic is also blocked as an anti-spam measure. 
              ",Lambda,AWS Lambda Functions
Q: How do I create an AWS Lambda function using the Lambda console?,"
If you are using Node.js or Python, you can author the code for your function using code editor in the AWS Lambda console, which lets you author and test your functions, and view the results of function executions in a robust, IDE-like environment. [Go to the console to get started](https://web.archive.org/web/20240727065740/https://console.aws.amazon.com/lambda/home?region=us-east-1).
You can also package the code (and any dependent libraries) as a ZIP and upload it using the AWS Lambda console from your local environment or specify an Amazon S3 location where the ZIP file is located. Uploads must be no larger than 50MB (compressed). You can use the AWS Eclipse plugin to author and deploy Lambda functions in Java. You can use the Visual Studio plugin to author and deploy Lambda functions in C#, and Node.js.
",Lambda,AWS Lambda Functions
Q: How do I create an AWS Lambda function using the Lambda CLI?,"
You can package the code (and any dependent libraries) as a ZIP and upload it using the AWS CLI from your local environment, or specify an Amazon S3 location where the ZIP file is located. Uploads must be no larger than 50MB (compressed). Visit the [Lambda Getting Started guide](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/lambda/latest/dg/getting-started.html) to get started.
",Lambda,AWS Lambda Functions
Q: Does AWS Lambda support environment variables?,"
Yes. You can easily create and modify environment variables from the AWS Lambda Console, CLI, or SDKs. To learn more about environment variables, see the [documentation](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/lambda/latest/dg/env_variables.html).
",Lambda,AWS Lambda Functions
Q: Can I store sensitive information in environment variables?,"
For sensitive information, such as database passwords, we recommend you use client-side encryption using [AWS Key Management Service](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/kms/latest/developerguide/overview.html) and store the resulting values as ciphertext in your environment variable. You will need to include logic in your AWS Lambda function code to decrypt these values.
",Lambda,AWS Lambda Functions
Q: How can I manage my AWS Lambda functions?,"
You can adjust and secure the resources associated with your Lambda function using the Lambda API or console. To learn more about it, see the [documentation](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/lambda/latest/dg/lambda-managing.html).
",Lambda,AWS Lambda Functions
Q: Can I share code across functions?,"
Yes, you can package any code (frameworks, SDKs, libraries, and more) as a [Lambda Layer](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/lambda/latest/dg/configuration-layers.html) and manage and share them easily across multiple functions.
",Lambda,AWS Lambda Functions
Q: How do I monitor an AWS Lambda function?,"
AWS Lambda automatically monitors Lambda functions on your behalf, reporting real-time metrics through Amazon CloudWatch, including total requests, account-level and function-level concurrency usage, latency, error rates, and throttled requests. You can view statistics for each of your Lambda functions via the Amazon CloudWatch console or through the AWS Lambda console. You can also call third-party monitoring APIs in your Lambda function. 
Visit [Troubleshooting CloudWatch metrics](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/lambda/latest/dg/monitoring-functions.html) to learn more. Standard charges for AWS Lambda apply to use Lambda’s built-in metrics.
",Lambda,AWS Lambda Functions
Q: How do I troubleshoot failures in an AWS Lambda function?,"
AWS Lambda automatically integrates with Amazon CloudWatch logs, creating a log group for each Lambda function and providing basic application lifecycle event log entries, including logging the resources consumed for each use of that function. You can easily insert additional logging statements into your code. You can also call third-party logging APIs in your Lambda function. Visit [Troubleshooting Lambda functions](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/lambda/latest/dg/monitoring-functions.html) to learn more. Amazon CloudWatch Logs rates will apply.
",Lambda,AWS Lambda Functions
Q: How do I scale an AWS Lambda function?,"
                You do not have to scale your Lambda functions – AWS Lambda scales them automatically on your behalf. Every time an event notification is received for your function, AWS Lambda quickly locates free capacity within its compute fleet and runs your code. Since your code is stateless, AWS Lambda can start as many copies of your function as needed without lengthy deployment and configuration delays. There are no fundamental limits to scaling a function. AWS Lambda will dynamically allocate capacity to match the rate of incoming events. 
              ",Lambda,AWS Lambda Functions
Q: How are compute resources assigned to an AWS Lambda function?,"
In the AWS Lambda resource model, you choose the amount of memory you want for your function, and are allocated proportional CPU power and other resources. For example, choosing 256MB of memory allocates approximately twice as much CPU power to your Lambda function as requesting 128MB of memory and half as much CPU power as choosing 512MB of memory. To learn more, see our [Function Configuration documentation](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/lambda/latest/dg/resource-model.html).You can set your memory from 128MB to 10,240MB.
",Lambda,AWS Lambda Functions
Q: When should I use AWS Lambda functions with more than 3008 MB of memory?,"
                Customers running memory or compute-intensive workloads can now use more memory for their functions. Larger memory functions help multithreaded applications run faster, making them ideal for data and computationally intensive applications like machine learning, batch and ETL jobs, financial modeling, genomics, HPC, and media processing. 
              ",Lambda,AWS Lambda Functions
Q: How long can an AWS Lambda function execute?,"
                AWS Lambda functions can be configured to run up to 15 minutes per execution. You can set the timeout to any value between 1 second and 15 minutes. 
              ",Lambda,AWS Lambda Functions
Q: How will I be charged for using AWS Lambda functions?,"
AWS Lambda is priced on a pay-per-use basis. Please see the [AWS Lambda pricing page](https://web.archive.org/web/20240727065740/https://aws.amazon.com/lambda/pricing/) for details.
",Lambda,AWS Lambda Functions
Q: Can I save money on AWS Lambda with a Compute Savings Plan?,"
                Yes. In addition to saving money on Amazon EC2 and AWS Fargate, you can also use Compute Savings Plans to save money on AWS Lambda. Compute Savings Plans offer up to 17% discount on Duration, Provisioned Concurrency, and Duration (Provisioned Concurrency). Compute Savings Plans do not offer a discount on Requests in your Lambda bill. However, your Compute Savings Plans commitment can apply to Requests at regular rates. 
              ",Lambda,AWS Lambda Functions
Q: Does AWS Lambda support versioning?,"
Yes. By default, each AWS Lambda function has a single, current version of the code. Clients of your Lambda function can call a specific version or get the latest implementation. Please read our documentation on [versioning Lambda functions](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/lambda/latest/dg/versioning-aliases.html).
",Lambda,AWS Lambda Functions
Q: How long after uploading my code will my AWS Lambda function be ready to call?,"
                Deployment times may vary with the size of your code, but AWS Lambda functions are typically ready to call within seconds of upload. 
              ",Lambda,AWS Lambda Functions
Q: Can I use my own version of a supported library?,"
                Yes. You can include your own copy of a library (including the AWS SDK) in order to use a different version than the default one provided by AWS Lambda. 
              ",Lambda,AWS Lambda Functions
Q: How does tiered pricing work?,"
AWS Lambda offers discounted pricing tiers for monthly on-demand function duration above certain thresholds. Tiered pricing is available for functions running on both x86 and Arm architectures. Lambda pricing tiers are applied to aggregate monthly on-demand duration of your functions running on the same architecture (x86 or Arm, respectively), in the same region, within the account. If you’re using consolidated billing in AWS Organizations, pricing tiers are applied to the aggregate monthly duration of your functions running on the same architecture, in the same region, across the accounts in the organization. For example, if you are running x86 Lambda functions in the US East (Ohio) region, you will pay $0.0000166667 for every GB-second for the first 6 billion GB-seconds per month, $0.0000150000 for every GB-second for the next 9 billion GB-seconds per month, and $0.0000133334 for every GB-second over 15 billion GB-seconds per month, in that region. Pricing for Requests, Provisioned Concurrency, and Provisioned Concurrency Duration remains unchanged. For more information, please see [AWS Lambda Pricing](https://web.archive.org/web/20240727065740/https://aws.amazon.com/lambda/pricing/)
",Lambda,AWS Lambda Functions
"Q: Can I take advantage of both tiered pricing, and Compute Savings Plans?","
Yes. Lambda usage that is covered by your hourly savings plan commitment is billed at the [applicable CSP rate and discount](https://web.archive.org/web/20240727065740/https://aws.amazon.com/savingsplans/compute-pricing/). The remaining usage that is not covered by this commitment will be billed at the rate corresponding to the tier your monthly aggregate function duration falls in.
",Lambda,AWS Lambda Functions
Q: What is an event source?,"
                An event source is an AWS service or developer-created application that produces events that trigger an AWS Lambda function to run. Some services publish these events to Lambda by invoking the cloud function directly (for example, Amazon S3). Lambda can also poll resources in other services that do not publish events to Lambda. For example, Lambda can pull records from an Amazon Kinesis stream or an Amazon SQS queue and execute a Lambda function for each fetched message.Many other services, such as AWS CloudTrail, can act as event sources simply by logging to Amazon S3 and using S3 bucket notifications to trigger AWS Lambda functions 
              ",Lambda,Using AWS Lambda to process AWS events
Q: What event sources can be used with AWS Lambda?,"
Please see our [documentation](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/lambda/latest/dg/intro-core-components.html#intro-core-components-event-sources) for a complete list of event sources.
",Lambda,Using AWS Lambda to process AWS events
Q: How are events represented in AWS Lambda?,"
Events are passed to a Lambda function as an event input parameter. For event sources where events arrive in batches, such as Amazon SQS, Amazon Kinesis, and Amazon DynamoDB Streams, the event parameter may contain multiple events in a single call, based on the batch size you request. To learn more about Amazon S3 event notifications, visit [Configuring Notifications for Amazon S3 Events](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/AmazonS3/latest/dev/NotificationHowTo.html). To learn more about Amazon DynamoDB Streams, visit the [DynamoDB Stream Developers Guide](https://web.archive.org/web/20240727065740/http://docs.aws.amazon.com/amazondynamodb/latest/developerguide/Streams.html). To learn more about invoking Lambda functions using Amazon SNS, visit the [Amazon SNS Developers Guide](https://web.archive.org/web/20240727065740/http://docs.aws.amazon.com/sns/latest/dg/sns-lambda.html). For more information on Amazon Cognito events, visit [Amazon Cognito](https://web.archive.org/web/20240727065740/https://aws.amazon.com/cognito/). For more information on AWS CloudTrail logs and auditing API calls across AWS services, see [AWS CloudTrail](https://web.archive.org/web/20240727065740/https://aws.amazon.com/cloudtrail/).
",Lambda,Using AWS Lambda to process AWS events
Q: How do I make an AWS Lambda function respond to changes in an Amazon S3 bucket?,"
                From the AWS Lambda console, you can select a function and associate it with notifications from an Amazon S3 bucket. Alternatively, you can use the Amazon S3 console and configure the bucket’s notifications to send to your AWS Lambda function. This same functionality is also available through the AWS SDK and CLI. 
              ",Lambda,Using AWS Lambda to process AWS events
Q: How do I make an AWS Lambda function respond to updates in an Amazon DynamoDB table?,"
                You can trigger a Lambda function on DynamoDB table updates by subscribing your Lambda function to the DynamoDB Stream associated with the table. You can associate a DynamoDB Stream with a Lambda function using the Amazon DynamoDB console, the AWS Lambda console, or Lambda’s registerEventSource API. 
              ",Lambda,Using AWS Lambda to process AWS events
Q: How do I use an AWS Lambda function to process records in an Amazon Kinesis stream?,"
                From the AWS Lambda console, you can select a Lambda function and associate it with an Amazon Kinesis stream owned by the same account. This same functionality is also available through the AWS SDK and CLI. 
              ",Lambda,Using AWS Lambda to process AWS events
Q: How does AWS Lambda process data from Amazon Kinesis streams and Amazon DynamoDB Streams?,"
                The Amazon Kinesis and DynamoDB Streams records sent to your AWS Lambda function are strictly serialized, per shard. This means that if you put two records in the same shard, Lambda guarantees that your Lambda function will be successfully invoked with the first record before it is invoked with the second record. If the invocation for one record times out, is throttled, or encounters any other error, Lambda will retry until it succeeds (or the record reaches its 24-hour expiration) before moving on to the next record. The ordering of records across different shards is not guaranteed, and processing of each shard happens in parallel. 
              ",Lambda,Using AWS Lambda to process AWS events
Q: How should I choose between AWS Lambda and Amazon Kinesis Data Analytics for my analytics needs?,"
AWS Lambda allows you to perform time-based aggregations (such as count, max, sum, average, etc.) over a short window of up to 15 minutes for your data in Amazon Kinesis or Amazon DynamoDB Streams over a single logical partition such as a shard. This gives you the option to easily set up simple analytics for your event-based application without adding architectural complexity, as your business and analytics logic can be located in the same function. Lambda allows aggregations over a maximum of a 15-minute tumbling window, based on the event timestamp. [Amazon Kinesis Data Analytics](https://web.archive.org/web/20240727065740/https://aws.amazon.com/kinesis/data-analytics/) allows you to build more complex analytics applications that support flexible processing choices and robust fault-tolerance with exactly-once processing without duplicates, and analytics that can be performed over an entire data stream across multiple logical partitions. With KDA, you can analyze data over multiple types of aggregation windows (tumbling window, stagger window, sliding window, session window) using either the event time or the processing time. 




 
AWS Lambda
Amazon KDA




Tumbling Window
Yes
Yes


Stagger Window
No
Yes


Sliding Window
No
Yes


Session Window
No
Yes


Enrichment
No
Yes


Joint input and reference tables
No
Yes


Split input stream
No
Yes


Exactly-once processing
No
Yes


Maximum time window
15 mins
No limit


Aggregation scope
Partition/shard
Stream


Time semantics
Event time
Event time, Processing time




",Lambda,Using AWS Lambda to process AWS events
Q: How do I use an AWS Lambda function to respond to notifications sent by Amazon Simple Notification Service (SNS)?,"
                From the AWS Lambda console, you can select a Lambda function and associate it with an Amazon SNS topic. This same functionality is also available through the AWS SDK and CLI. 
              ",Lambda,Using AWS Lambda to process AWS events
Q: How do I use an AWS Lambda function to respond to emails sent by Amazon Simple Email Service (SES)?,"
                From the Amazon SES Console, you can set up your receipt rule to have Amazon SES deliver your messages to an AWS Lambda function. The same functionality is available through the AWS SDK and CLI. 
              ",Lambda,Using AWS Lambda to process AWS events
Q: How do I use an AWS Lambda function to respond to Amazon CloudWatch alarms?,"
First, configure the alarm to send Amazon SNS notifications. Then from the AWS Lambda console, select a Lambda function and associate it with that Amazon SNS topic. See the [Amazon CloudWatch Developer Guide](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/AmazonCloudWatch/latest/DeveloperGuide/WhatIsCloudWatch.html) for more on setting up Amazon CloudWatch alarms.
",Lambda,Using AWS Lambda to process AWS events
Q: How do I use an AWS Lambda function to respond to changes in user or device data managed by Amazon Cognito?,"
From the AWS Lambda console, you can select a function to trigger when any datasets associated with an [Amazon Cognito](https://web.archive.org/web/20240727065740/https://aws.amazon.com/cognito/) identity pool are synchronized. This same functionality is also available through the AWS SDK and CLI. Visit Amazon Cognito for more information on using Amazon Cognito to share and synchronize data across a user’s devices.
",Lambda,Using AWS Lambda to process AWS events
Q: How can my application trigger an AWS Lambda function directly?,"
You can invoke a Lambda function using a custom event through AWS Lambda’s invoke API. Only the function owner or another AWS account that the owner has granted permission can invoke the function. Visit the [Lambda Developers Guide](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/lambda/latest/dg/welcome.html) to learn more.
",Lambda,Using AWS Lambda to process AWS events
Q: What is the latency of invoking an AWS Lambda function in response to an event?,"
                AWS Lambda is designed to process events within milliseconds. Latency will be higher immediately after a Lambda function is created, updated, or if it has not been used recently. 
              ",Lambda,Using AWS Lambda to process AWS events
Q: How do I create a mobile backend using AWS Lambda?,"
You upload the code you want AWS Lambda to execute and then invoke it from your mobile app using the AWS Lambda SDK included in the AWS Mobile SDK. You can make both direct (synchronous) calls to retrieve or check data in real time, as well as asynchronous calls. You can also define a custom API using Amazon API Gateway and invoke your Lambda functions through any REST compatible client. To learn more about the AWS Mobile SDK, visit the [AWS Mobile SDK](https://web.archive.org/web/20240727065740/https://aws.amazon.com/mobile/sdk/) page. To learn more about Amazon API Gateway, visit the [Amazon API Gateway](https://web.archive.org/web/20240727065740/https://aws.amazon.com/api-gateway/) page.
",Lambda,Using AWS Lambda to process AWS events
Q: How do I invoke an AWS Lambda function over HTTPS?,"
                You can invoke a Lambda function over HTTPS by defining a custom RESTful API using Amazon API Gateway. This gives you an endpoint for your function which can respond to REST calls like GET, PUT, and POST. Read more about using AWS Lambda with Amazon API Gateway. 
              ",Lambda,Using AWS Lambda to process AWS events
Q: How can my AWS Lambda function customize its behavior to the device and app making the request?,"
                When called through the AWS Mobile SDK, AWS Lambda functions automatically gain insight into the device and application that made the call through the ‘context’ object. 
              ",Lambda,Using AWS Lambda to process AWS events
Q: How can my AWS Lambda function personalize its behavior based on the identity of the end-user of an application?,"
                When your app uses the Amazon Cognito identity, end users can authenticate themselves using a variety of public login providers such as Amazon, Facebook, Google, and other OpenID Connect-compatible services. User identity is then automatically and secured presented to your Lambda function in the form of an Amazon Cognito id, allowing it to access user data from Amazon Cognito, or as a key to store and retrieve data in Amazon DynamoDB or other web services. 
              ",Lambda,Using AWS Lambda to process AWS events
Q: How do I create an Alexa skill using AWS Lambda?,"
                AWS Lambda is integrated with the Alexa Skills Kit, a collection of self-service APIs, tools, documentation, and code samples that make it easy for you to create voice-driven capabilities (or “skills”) for Alexa. You simply upload the Lambda function code for the new Alexa skill you are creating, and AWS Lambda does the rest, executing the code in response to Alexa voice interactions and automatically managing the compute resources on your behalf. Read the Alexa Skills Kit documentation for more details. 
              ",Lambda,Using AWS Lambda to process AWS events
Q: What happens if my function fails while processing an event?,"
                For Amazon S3 bucket notifications and custom events, AWS Lambda will attempt execution of your function three times in the event of an error condition in your code or if you exceed a service or resource limit. For ordered event sources that AWS Lambda polls on your behalf, such as Amazon DynamoDB Streams and Amazon Kinesis streams, Lambda will continue attempting execution in the event of a developer code error until the data expires. You can monitor progress through the Amazon Kinesis and Amazon DynamoDB consoles and through the Amazon CloudWatch metrics that AWS Lambda generates for your function. You can also set Amazon CloudWatch alarms based on error or execution throttling rates. 
              ",Lambda,Using AWS Lambda to process AWS events
Q: What is a serverless application?,"
                Lambda-based applications (also referred to as serverless applications) are composed of functions triggered by events. A typical serverless application consists of one or more functions triggered by events such as object uploads to Amazon S3, Amazon SNS notifications, or API actions. These functions can stand alone or leverage other resources such as DynamoDB tables or Amazon S3 buckets. The most basic serverless application is simply a function. 
              ",Lambda,Using AWS Lambda to build applications
Q: How do I deploy and manage a serverless application?,"
                You can deploy and manage your serverless applications using the AWS Serverless Application Model (AWS SAM). AWS SAM is a specification that prescribes the rules for expressing serverless applications on AWS. This specification aligns with the syntax used by AWS CloudFormation today and is supported natively within AWS CloudFormation as a set of resource types (referred to as ""serverless resources""). These resources make it easier for AWS customers to use CloudFormation to configure and deploy serverless applications using existing CloudFormation APIs. 
              ",Lambda,Using AWS Lambda to build applications
Q: How can I discover existing serverless applications developed by the AWS community?,"
You can choose from a collection of serverless applications published by developers, companies, and partners in the AWS community with the [AWS Serverless Application Repository](https://web.archive.org/web/20240727065740/https://aws.amazon.com/serverless/serverlessrepo/). After finding an application, you can configure and deploy it straight from the [Lambda console](https://web.archive.org/web/20240727065740/https://console.aws.amazon.com/lambda/home?region=us-east-1).
",Lambda,Using AWS Lambda to build applications
Q: How do I automate deployment for a serverless application?,"
You can automate your serverless application release process using AWS CodePipeline and AWS CodeDeploy. CodePipeline is a continuous delivery service that enables you to model, visualize and automate the steps required to release your serverless application. CodeDeploy provides a deployment automation engine for your Lambda-based applications. CodeDeploy lets you orchestrate deployments according to established best-practice methodologies such as canary and linear deployments, and helps you establish the necessary guardrails to verify that newly-deployed code is safe, stable, and ready to be fully released to production. 
To learn more about serverless CI/CD, visit our [documentation](https://web.archive.org/web/20240727065740/https://docs.aws.amazon.com/lambda/latest/dg/automating-deployment.html).
",Lambda,Using AWS Lambda to build applications
