,question,answer,category,sub_category
16,What networking options does Amazon ECS support?,"Amazon ECS supports Docker networking and integrates with Amazon VPC to provide isolation for containers. This gives you control over how containers connect with other services and external traffic. With Amazon ECS, you can choose between four networking modes for your containers that cater towards different use cases:

VPC Mode: This mode assigns each running Amazon ECS task a dedicated elastic networking interface, allowing containers full networking features in a VPC, just like Amazon EC2 instances.
Bridge Mode: This mode creates a Linux bridge that connects all containers running on the host in a local virtual network, which can be accessed through the host's default network connection.
Host Mode: This mode adds containers directly to the host’s network stack, exposing containers on the host's network with no isolation.
None: This mode disables external networking for containers.",Elastic Container Service,Using Amazon ECS
17,How does Amazon ECS support service-to-service communication?,"Service Connect: Amazon ECS Service Connect simplifies service discovery, connectivity, and traffic observability for Amazon ECS. It helps you build applications faster by letting you focus on the application code and not on your networking infrastructure. You can use Amazon ECS Service Connect to define logical names for your service endpoints and use them in your client applications to connect to dependencies. Amazon ECS Service Connect helps send your traffic to healthy endpoints and provides rich traffic telemetry in the Amazon ECS console and in Amazon CloudWatch. Native Amazon ECS deployments are more robust with Amazon ECS Service Connect, as it supports automatic connection draining that helps your client applications switch to a new version of the service endpoint without encountering traffic errors. With Amazon ECS Service Connect, you can: 
                 
Set the way client applications connect to their dependencies in just one step
Write and operate resilient distributed applications with logical naming
Monitor and distribute traffic between Amazon ECS tasks without deploying and configuring load balancers
Deploy services faster and deliver seamless integration of Amazon ECS microservices comprising an application
 
Service Discovery: Amazon ECS is integrated with [AWS Cloud Map](https://web.archive.org/web/20240727074557/https://aws.amazon.com/cloud-map/) to make it easy for your containerized services to discover and connect with each other. AWS Cloud Map is a cloud resource discovery service that lets you define custom names for your application resources. It increases your application availability because your web service will always discover the most up-to-date locations of these dynamically changing resources.",Elastic Container Service,Using Amazon ECS
18,How does Amazon ECS provide observability for applications?,"Monitoring

You can monitor your Amazon ECS resources using Amazon CloudWatch, which collects and processes raw data from Amazon ECS into readable, near real-time metrics. These statistics are recorded for a period of two weeks so that you can access historical information and gain a better perspective on how your clusters or services are performing. There is no additional charge for this. To learn more, please visit, [Amazon ECS CloudWatch metrics](https://web.archive.org/web/20240727074557/https://docs.aws.amazon.com/AmazonECS/latest/developerguide/cloudwatch-metrics.html).
For enhanced metrics, use CloudWatch Container Insights to collect, aggregate, and summarize metrics and logs from your containerized applications and microservices, available for your Amazon ECS clusters running on Amazon EC2 and AWS Fargate. CloudWatch automatically collects metrics for many resources, such as CPU, memory, disk, and network. Container Insights also provides diagnostic information, such as container restart failures, to help you isolate issues and resolve them quickly. For Amazon ECS, Container Insights collects metrics at the cluster, task and service levels on both Linux and Windows Server instances. It can collect metrics at the instance-level only on Linux instances.Network metrics are available only for containers in bridge network mode and awsvpc network mode. They are not available for containers in host network mode. To learn more, please visit, [Using Container Insights](https://web.archive.org/web/20240727074557/https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/ContainerInsights.html).
 
Logging

Amazon ECS allows you to record all your Amazon ECS API calls and have the log files delivered to you through [AWS CloudTrail](https://web.archive.org/web/20240727074557/https://aws.amazon.com/cloudtrail/). The recorded information includes the identity of the API caller, the time of the API call, the source IP address of the API caller, the request parameters, and the response elements returned by Amazon ECS. CloudTrail provides you a history of API calls made from the AWS Management Console, AWS SDKs, and AWS CLI. It enables security analysis, resource change tracking, and compliance auditing.
 
AWS Config

[AWS Config](https://web.archive.org/web/20240727074557/https://aws.amazon.com/config/) integrates with Amazon ECS to provide you visibility into your configuration of AWS resources in your AWS account. AWS Config allows users to monitor and track how resources were configured, how they relate to one another, and how the configurations and relationships change over time. AWS Config enables you to simplify compliance and security, operational troubleshooting, and resource administration.
 
Third Party

Amazon ECS supports an entire ecosystem of third-party observability vendors by embracing open container standards. For more information view the [Amazon ECS Partners page](https://web.archive.org/web/20240727074557/https://aws.amazon.com/ecs/partners/).",Elastic Container Service,Using Amazon ECS
19,What storage options are available with Amazon ECS?,"Amazon ECS offers the following storage options:
Amazon Elastic File System (EFS): Amazon EFS provides serverless, fully elastic, scalable file storage for use with your Amazon ECS tasks. You can mount a shared Amazon EFS file system to your ECS tasks for persistent storage.
Amazon Elastic Block Store (EBS): Amazon EBS provides scalable, high-performance storage for your Amazon ECS tasks. You can configure ECS to provision and attach EBS volumes with desired characteristics (size, performance, encryption, etc) to your Amazon ECS tasks.",Elastic Container Service,Using Amazon ECS
20,How can I monitor cost information for my Amazon ECS tasks running on AWS Fargate?,"Costs for Amazon ECS tasks running on AWS Fargate are available in AWS Cost and Usage Reports (CUR) and AWS Cost Explorer automatically. You can use managed as well as user-added tags to aggregate and allocate costs to new and existing business units, teams, or applications for your Amazon ECS tasks.
[Learn more about Amazon ECS usage reports](https://web.archive.org/web/20240727074557/https://docs.aws.amazon.com/AmazonECS/latest/developerguide/usage-reports.html).",Elastic Container Service,Using Amazon ECS
21,How can I monitor cost information for my Amazon ECS tasks running on Amazon EC2 instances?,"You can access cost and usage information for Amazon ECS tasks running on Amazon EC2 instances in AWS Cost and Usage Reports (CUR) by opting into Split Cost Allocation Data for Amazon ECS. Split Cost Allocation Data generates task-level costs for Amazon ECS tasks running on Amazon EC2 instances by analyzing each task’s resource consumption based on the price of the instance, and the percentage of CPU and memory resources consumed by the containers running on the instance. Split Cost Allocation Data automatically ingests managed and user-added tags for your Amazon ECS tasks, allowing you to aggregate and allocate costs to new and existing business units, teams, or applications. You can opt into Split Cost Allocation Data for Amazon ECS from the AWS Cost Management console preferences. Then you can opt into Split Cost Allocation Data for your individual CUR reports from the CUR reporting preferences in AWS Billing console.   [Learn more about enabling split cost allocation data.](https://web.archive.org/web/20240727074557/https://docs.aws.amazon.com/cur/latest/userguide/enabling-split-cost-allocation-data.html)",Elastic Container Service,Using Amazon ECS
22,How does Amazon ECS isolate containers belonging to different customers?,"Amazon ECS schedules containers for execution on customer-controlled Amazon EC2 instances or with AWS Fargate and builds on the same isolation controls and compliance settings available for Amazon EC2 customers. Your compute instances are located in a Virtual Private Cloud (VPC) with an IP range that you specify. You decide which instances are exposed to the Internet and which remain private.

Your Amazon EC2 instances use an IAM role to access the Amazon ECS service.
Your Amazon ECS tasks use an IAM role to access services and resources.
Your Amazon ECS tasks running on AWS Fargate run in isolated virtual machines.
Security Groups and networks ACLs allow you to control inbound and outbound network access to and from your instances.
You can connect your existing IT infrastructure to resources in your VPC using industry-standard encrypted IPsec VPN connections.
You can provision your Amazon EC2 resources as Dedicated Instances. Dedicated Instances are Amazon EC2 Instances that run on hardware dedicated to a single customer for additional isolation.",Elastic Container Service,Security and Compliance
23,Can I apply additional security configuration and isolation frameworks to my container instances?,"Yes. As an Amazon EC2 customer, you have root access to the operating system (OS) of your container instances. You can take ownership of the OS security settings, as well as configure additional software components for security capabilities such as monitoring, patch management, log management, and host intrusion detection. 
Using Amazon ECS with AWS Fargate drives high levels of security with the ability to assign granular permissions to each task, giving you a higher degree isolation, network access control, and IAM control when building applications. With AWS Fargate, every task runs in a separate virtual machine (VM), providing more isolation than two tasks sharing the same host. Each task also has its own network interface allowing the security group to be applied to each task, with control over the incoming and outgoing traffic.",Elastic Container Service,Security and Compliance
24,Does Amazon ECS support retrieving container images from a private or internal source?,Yes. Customers can configure their container instances to access a private container image registry within a VPC or a registry that’s accessible outside a VPC such as [Amazon ECR](https://web.archive.org/web/20240727074557/https://aws.amazon.com/ecr/).,Elastic Container Service,Security and Compliance
25,How do I configure IAM roles for Amazon ECS tasks?,"You first need to create an IAM role for your task, using the 'Amazon EC2 Container Service Task Role’ service role and attaching a policy with the required permissions. When you create a new task definition or a task definition revision, you can then specify a role by selecting it from the ’Task Role’ drop-down or using the ‘taskRoleArn’ filed in the JSON format.",Elastic Container Service,Security and Compliance
26,With which compliance programs does Amazon ECS conform?,"Amazon ECS meets the standards for PCI DSS Level 1, ISO 9001, ISO 27001, ISO 27017, ISO 27018, SOC 1, SOC 2, SOC 3, and HIPAA eligibility.  For more information, visit our [compliance pages](https://web.archive.org/web/20240727074557/https://aws.amazon.com/compliance/).",Elastic Container Service,Security and Compliance
27,Can I use Amazon ECS for Protected Health Information (PHI) and other HIPAA-regulated workloads?,"Yes. Amazon ECS is HIPAA-eligible. If you have an executed [Business Associate Addendum (BAA)](https://web.archive.org/web/20240727074557/https://aws.amazon.com/compliance/hipaa-compliance/) with AWS, you can use Amazon ECS to process encrypted Protected Health Information (PHI) using containers deployed onto the [AWS Fargate](https://web.archive.org/web/20240727074557/https://aws.amazon.com/fargate/) launch-type or Amazon EC2 compute instances.
 For more information, please visit our page on [HIPAA compliance](https://web.archive.org/web/20240727074557/https://aws.amazon.com/compliance/hipaa-compliance/). If you plan to process, store, or transmit PHI and do not have an executed BAA from AWS, please [contact us](https://web.archive.org/web/20240727074557/https://aws.amazon.com/contact-us/) for more information.",Elastic Container Service,Security and Compliance
28,Can I use Amazon ECS for US Government-regulated workloads or processing sensitive Controlled Unclassified Information (CUI)?,"Yes. By using the AWS GovCloud (US) region, containers and clusters managed by Amazon ECS can meet the requirements to sensitive data and regulated workloads with your containers. For more information, visit our page on [AWS GovCloud](https://web.archive.org/web/20240727074557/https://aws.amazon.com/govcloud-us/).
Customers can also deploy their workloads on Amazon ECS using AWS Fargate in a manner compliant with Federal Information Processing Standard (FIPS) 140-2. FIPS is a U.S. and Canadian government standard that specifies the security requirements for cryptographic modules that protect sensitive information.",Elastic Container Service,Security and Compliance
29,What other security assurances does AWS offer for my Amazon ECS workloads?,"Amazon ECS is architected to be secure by design, and also integrates with AWS native security services for security, identity, and compliance. For example, you can use [Amazon GuardDuty](https://web.archive.org/web/20240727074557/https://aws.amazon.com/guardduty) to monitor your Amazon ECS workloads running on AWS Fargate or Amazon EC2 to detect potentially malicious or suspicious behavior.",Elastic Container Service,Security and Compliance
30,What does the Amazon ECS SLA guarantee?,Our Compute SLA guarantees a Monthly Uptime Percentage of at least 99.99% for Amazon ECS. AWS makes two SLA commitments for Amazon ECS and AWS Fargate: (1) a Multi-AZ Included Container Service SLA that governs Included Container Services deployed across multiple AZs; and (2) a Single Task/Pod SLA that governs Included Container Service tasks and pods individually. Please see the [AWS Fargate and Amazon Elastic Container Service SLA page](https://web.archive.org/web/20240727074557/https://aws.amazon.com/ecs/sla/).,Elastic Container Service,Service Level Agreement
31,How do I know if I qualify for a SLA Service Credit?,"You are eligible for an SLA credit for Amazon ECS under the Compute SLA if more than one Availability Zone in which you are running a task, within the same region has a Monthly Uptime Percentage of less than 99.99% during any monthly billing cycle.
For full details on all of the terms and conditions of the SLA, as well as details on how to submit a claim, please see the [Compute SLA details page](https://web.archive.org/web/20240727074557/https://aws.amazon.com/compute/sla/).",Elastic Container Service,Service Level Agreement
