question,answer,category,sub_category
How do I connect to a Lightsail instance?,"
Lightsail offers a 1-click secure connection to your instance's terminal right from your browser, supporting SSH access for Linux/Unix-based instances and RDP access for Windows-based instances. To use 1-click connections, launch your instance management screens, click Connect using SSH or Connect using RDP, and a new browser window opens and automatically connects to your instance.
If you prefer to connect to your Linux/Unix-based instance using your own client, Lightsail will do the SSH key storing and management work for you, and provide you with a secure key to use in your SSH client.
",Lightsail,Lightsail resources
How do I use IPs in Lightsail?,"
Each Lightsail instance automatically gets a private IP address and a public IP address. You can use the private IP to transmit data between Lightsail instances and AWS resources privately, for free. You can use the public IP to connect to your instance from the Internet, such as through a registered domain name or through an SSH or RDP connection from your local computer. You can also attach a static IP to the instance, which substitutes the public IP with an IP address that doesn't change even if the instance is stopped and started.
",Lightsail,Lightsail resources
What is a static IP?,"
A [static IP](https://web.archive.org/web/20240727061427/https://lightsail.aws.amazon.com/ls/docs/overview/article/understanding-static-ip-addresses-in-amazon-lightsail?fid=3BE5EA8FA64943AD-0284EED1954F5F15) is a fixed, public IP that is dedicated to your Lightsail account. You can assign a static IP to an instance, replacing its public IP. If you decide to replace your instance with another one, you can reassign the static IP to the new instance. In this way, you don't have to reconfigure any external systems (like DNS records) to point to a new IP every time you want to replace your instance.
",Lightsail,Lightsail resources
What are DNS records?,"
DNS is a globally distributed service that translates human readable names like www.example.com into numeric IP addresses, like 192.0.2.1 that computers use to connect to each other. With Lightsail, you can easily map your registered domain names such as photos.example.com to the public IPs of your Lightsail instances. In this way, when users type human readable names like example.com into their browsers, Lightsail automatically translates the address into the IP of the instance you want to direct your users to. Each of these translations is referred to as a DNS query.
It's important to know that in order to use a domain in Lightsail, you must first register it. You can register new domains using [domain support features on Lightsail](https://web.archive.org/web/20240727061427/https://lightsail.aws.amazon.com/ls/docs/en_us/articles/amazon-lightsail-domain-registration), [Amazon Route 53](https://web.archive.org/web/20240727061427/https://docs.aws.amazon.com/Route53/latest/DeveloperGuide/domain-register.html?fid=3BE5EA8FA64943AD-0284EED1954F5F15), or your preferred DNS registrar.
",Lightsail,Lightsail resources
Can I manage firewall settings for my instance?,"
Yes. You can control the data traffic for your instances by using the Lightsail firewall. From the Lightsail console, you can set rules about which ports of your instance are publicly accessible for different types of traffic.
",Lightsail,Lightsail resources
What are snapshots?,"
Snapshots are point-in-time backups of instances, databases, or block storage disks. You can create a snapshot of your resources at any time, or you can enable automatic snapshots on instances and disks to have Lightsail create snapshots for you. You can use snapshots as baselines to create new resources or to back up your data. A snapshot contains all of the data that is needed to restore your resource (from the moment when the snapshot was taken). When you restore a resource by creating it from a snapshot, the new resource begins as an exact replica of the original resource that was used to create the snapshot.
You can manually take snapshots of your Lightsail instances, disks, and databases, or you can use [automatic snapshots](https://web.archive.org/web/20240727061427/https://lightsail.aws.amazon.com/ls/docs/en_us/articles/amazon-lightsail-configuring-automatic-snapshots) to instruct Lightsail to take daily snapshots of your instances and disks automatically. For more information, see [Snapshots in Amazon Lightsail](https://web.archive.org/web/20240727061427/https://lightsail.aws.amazon.com/ls/docs/en_us/articles/understanding-instance-snapshots-in-amazon-lightsail).
",Lightsail,Lightsail resources
What are automatic snapshots?,"
Automatic snapshots are a way to schedule daily snapshots of your Linux/Unix instances in Amazon Lightsail. You can pick a time of the day, and Lightsail will automatically take a snapshot for you each day at the time you chose and always keep your seven most recent automatic snapshots. Enabling snapshots is free – you only pay for the actual storage used by your snapshots.
",Lightsail,Lightsail resources
What are the differences between manual snapshots and automatic snapshots?,"
Automatic snapshots cannot be tagged or exported directly to Amazon EC2. However, automatic snapshots can be copied and converted into manual snapshots. To copy an automatic snapshot into a manual one, choose Keep from the automatic snapshot’s context menu to copy it as a manual snapshot.
",Lightsail,Lightsail resources
How can I back up my instances?,"
If you want to back up your data, you can use the Lightsail console or API to take a [snapshot](https://web.archive.org/web/20240727061427/https://lightsail.aws.amazon.com/ls/docs/overview/article/understanding-instance-snapshots-in-amazon-lightsail?fid=3BE5EA8FA64943AD-0284EED1954F5F15) of your instance. If there is a failure or bad code deployment, you can later use your instance snapshot to create a brand new instance. We recommend stopping your instance temporarily when taking a snapshot, to ensure your data is complete and not corrupted in any way.
",Lightsail,Lightsail resources
What is the difference between stopping and deleting my instance?,"
When you stop your instance, it is powered down at its current state and is available for you to start again at any time. Stopping your instance will release its public IP, so it is recommended that you use static IPs for instances that must retain the same IP after they stop.
When you delete your instance, you are performing a destructive action. Unless you have taken an instance snapshot, all of your instance data will be lost and you cannot recover it again. The instance's public and private IPs will also be released. If you were using a static IP with that instance, the static IP is detached, but remains in your account.
",Lightsail,Lightsail resources
Can I upgrade my plan?,"
Yes. You can take a snapshot of your instance, and use the API to launch a new, larger size instance. You can launch new instances from snapshot using the Lightsail console or the CLI. Find instructions on how to use the CLI [here](https://web.archive.org/web/20240727061427/https://lightsail.aws.amazon.com/ls/docs/how-to/article/lightsail-how-to-create-larger-instance-from-snapshot-using-aws-cli?fid=3BE5EA8FA64943AD-0284EED1954F5F15).
",Lightsail,Lightsail resources
How can I connect Lightsail instances to other resources in my AWS account?,"
You can connect your Lightsail instances to VPC resources in your AWS account privately, by using VPC peering. Just choose Enable VPC peering on your Lightsail account page, and Lightsail does the work for you. Once VPC peering is enabled, you can address other AWS resources in your default AWS VPC by using their private IPs. Find instructions [here](https://web.archive.org/web/20240727061427/https://lightsail.aws.amazon.com/ls/docs/how-to/article/lightsail-how-to-set-up-vpc-peering-with-aws-resources?fid=3BE5EA8FA64943AD-0284EED1954F5F15).
Note that you need to have a default VPC set up in your AWS account in order for VPC peering with Lightsail to work. AWS accounts created before December 2013 do not have a default VPC, and you will need to set one up. Find out more about setting up your default VPC [here](https://web.archive.org/web/20240727061427/https://docs.aws.amazon.com/AmazonVPC/latest/UserGuide/default-vpc.html?fid=3BE5EA8FA64943AD-0284EED1954F5F15).
",Lightsail,Lightsail resources
In which regions is Lightsail available?,"
Lightsail is currently available in all the Availability Zones in the following AWS Regions:

US East (N. Virginia)
US East (Ohio)
US West (Oregon)
Canada (Central)
Europe (Frankfurt)
Europe (Ireland)
Europe (London)
Europe (Paris)
Europe (Stockholm)
Asia Pacific (Mumbai)
Asia Pacific (Singapore)
Asia Pacific (Sydney)
Asia Pacific (Tokyo)
Asia Pacific (Seoul)

",Lightsail,Lightsail resources
What are Availability Zones?,"
Availability Zones are collections of data centers that run on physically distinct, independent infrastructure and are engineered to be highly reliable. Common points of failure such as generators and cooling equipment are not shared between Availability Zones. Additionally, Availability Zones are physically separate, so that even extremely uncommon disasters such as fires, tornados, or flooding can affect only a single Availability Zone.
",Lightsail,Lightsail resources
What are the Lightsail service quotas?,"
For the latest Lightsail service quotas, including which quotas can be increased, see the [Lightsail service quotas](https://web.archive.org/web/20240727061427/https://docs.aws.amazon.com/general/latest/gr/lightsail.html) in the AWS General Reference. If you need to increase a quota, please open a case with [customer service](https://web.archive.org/web/20240727061427/https://console.aws.amazon.com/support/home?region=us-east-1).
",Lightsail,Lightsail resources
How can I get more help?,"
We're here for you. Quick Assist in Lightsail offers immediate helpful tips about your actions in the console. From the Lightsail console, you can also access a library of getting started guides, overviews, and how-to topics. And if you want to use the API or CLI, Lightsail has a full API reference for all supported programming languages. You can also use Lightsail support resources:

If you have an issue with your account or billing, contact [customer service](https://web.archive.org/web/20240727061427/https://console.aws.amazon.com/support/home?region=us-east-1#/&fid=3BE5EA8FA64943AD-0284EED1954F5F15) online. You get free 24x7 access with your Lightsail account.
If you have a general question about how to use Lightsail, search the [Lightsail documentation](https://web.archive.org/web/20240727061427/https://lightsail.aws.amazon.com/ls/docs/all?fid=3BE5EA8FA64943AD-0284EED1954F5F15) and [support forums](https://web.archive.org/web/20240727061427/https://forums.aws.amazon.com/forum.jspa?forumID=231&start=0&fid=3BE5EA8FA64943AD-0284EED1954F5F15).

Additionally, AWS Support offers an array of paid plans to cover your individual needs.
",Lightsail,Lightsail resources
What operating systems can I use with Amazon Lightsail?,"
Lightsail currently supports 6 Linux or Unix-like distributions – Amazon Linux, Debian, FreeBSD, OpenSUSE, and Ubuntu – and 3 Windows Server versions – 2012 R2, 2016, and 2019.
",Lightsail,Lightsail resources
What are tags?,"
A tag is a label that you assign to a Lightsail resource. Each tag consists of a key and a value, both of which you define. A tag value is optional, so you can choose to create “key-only” tags for filtering resources in the Lightsail console.
",Lightsail,Lightsail resources
What can I use tags to do in Lightsail?,"
Tags have multiple use cases - they enable you to group and filter your resources in the Lightsail console and API, track and organize your costs in your bill, and regulate who can see or modify your resources through access management rules. By tagging your resources you can:

Organize - use the Lightsail console and API filters to view and manage resources based on their tags you have assigned them. This is useful when you have many resources of the same type—you can quickly identify a specific resource based on the tags you've assigned to it.
Cost-allocate - track and allocate costs across different projects or users by tagging your resources and creating “cost allocation tags” in the billing console. For instance, you can split out your bill and understand your costs by project or by client.
Manage access - control how users with access to your AWS account can edit, create, and delete Lightsail resources by using AWS Identity and Access Management policies. This allows you to more easily collaborate with others without needing to give them full access to your Lightsail resources.

[Learn more about using tags in Lightsail >>](https://web.archive.org/web/20240727061427/https://lightsail.aws.amazon.com/ls/docs/en/articles/amazon-lightsail-tags/?lsm=docs)
",Lightsail,Lightsail resources
What resources can be tagged?,"
Lightsail current supports tagging for the following resources:

Instances (Linux and Windows)
Container services
Block storage disks
Load balancers
Databases
DNS zones
Instance, disk, and database snapshots

Manual snapshots also support tags and are automatically given the same tags as the source resource. You can edit these tags when you use a snapshot to create a new instance, disk, or database.
",Lightsail,Lightsail resources
How can I tag my Lightsail snapshots?,"
The Lightsail console automatically tags manual snapshots with the same tags as its parent resource. However, tags are not automatically copied over from a resource to its automatic snapshots. If you use the Lightsail API to create a snapshot, you can choose the tags for the snapshot yourself.
Important: Database snapshots tags are not currently included in billing reports (cost allocation tags).
",Lightsail,Lightsail resources
What is the difference between key-value and key-only Tags?,"
Lightsail tags are key-value pairs, allowing you to organize resources such as instances across different categories, e.g. project:Blog, project:Game, project:Test. This allows you full control across all use cases such as resource organization, bill reporting, and access management. The Lightsail console also allows you to tag your resources with key-only tags for quick filtering in the console.
",Lightsail,Lightsail resources
Does Amazon Lightsail support monitoring and alerting?,"
Yes. With Amazon Lightsail you can collect metrics on various resources, including instances, load balancers and databases. For any individual resource you can setup to two alarms thresholds for each metric. If the alarm threshold is breached you will receive a notification in the Lightsail console, and, optionally, you can choose to receive an email message and/or SMS message. There is no additional charge for the alerting and monitoring feature in Lightsail, however, you may incur charges from your mobile carrier for SMS messaging.
",Lightsail,Lightsail resources
What is Lightsail's free tier?,"
For a limited time, Lightsail is extending its free tier to include three months free on select bundles. The offer applies to new or existing AWS accounts who started Lightsail usage on or after 7/8/2021. Offer only applies to one bundle per account. Standard charges apply after first 750 hours of usage of the selected bundle each month. Check out the [pricing page](https://web.archive.org/web/20240727061427/https://aws.amazon.com/lightsail/pricing/) to learn more. 
",Lightsail,Billing and account management
What do Lightsail plans cost?,"
Lightsail plans are billed on an on-demand hourly rate, so you pay only for what you use. For every Lightsail plan you use, we charge you the fixed hourly price, up to the maximum monthly plan cost. The least expensive Lightsail plan starts at $0.0047 USD/hour ($3.50 USD/month). Lightsail plans that include a Windows Server license start at $0.01075 USD/hour ($8 USD/month).
",Lightsail,Billing and account management
When am I getting charged for a plan?,"
Your Lightsail instances are charged only when they're in the running or stopped state. If you delete your Lightsail instance before the end of the month, we only charge you a prorated cost, based on the total number of hours that you used your Lightsail instance. For example, if you use the least expensive Lightsail plan for 100 hours in a month, you will be charged 47 cents (100*0.0047).
",Lightsail,Billing and account management
What do Lightsail static IPs cost?,"
Static IPs are not charged extra when attached to a Lightsail instance. Static IPs cannot be attached to IPv6-only instances. IPv4 addresses are a scarce resource and Lightsail is committed to helping to use them efficiently, so we charge a small $0.005 USD/hour fee for static IPs not attached to an instance for more than 1 hour.
",Lightsail,Billing and account management
What does data transfer cost?,"
Your plan includes a free data transfer allowance. Both data transfer in and data transfer out of your instance count toward your data transfer allowance. For Lightsail content delivery network (CDN) distributions, only data transfer out of your distribution counts toward your allowance.  If you exceed your data transfer allowance, you will only get charged for data transfer OUT from a Lightsail instance to the Internet or to AWS resources using the public IP address of the instance. This additional charge for data transfer beyond allowance is also payable for resources that are within their free trial period. Both data transfer IN to Lightsail instances and data transfer OUT from a Lightsail instance when using the instance’s private IP address are free beyond your data transfer allowance. For Lightsail CDN distributions, all data transfer out of your distribution will incur a charge once you exceed your distribution data transfer allowance.
",Lightsail,Billing and account management
What is my data transfer plan allowance?,"
Every single Lightsail plan also includes a healthy amount of free IN and OUT data transfer. For example, using the cheapest Lightsail instance bundle you can send and receive up to 1 TB of data to the Internet within the month, at no extra charge.
",Lightsail,Billing and account management
How does my data transfer allowance work for instances?,"
Every Lightsail instance plan includes a data transfer allowance. Both data transfer IN and data transfer OUT of your instance count toward your data transfer allowance. If you exceed your data transfer allowance, you will only be charged for the excess data transfer OUT from a Lightsail instance to the Internet or to AWS resources using the public IP address of the instance. You will not be charged for the excess data transfer IN to your Lightsail instance (see Example 1). Your data transfer allowance resets every month, and your instance can consume it whenever it needs to within the month. Data transfer allowance is aggregated for instances of the same bundle (i.e. [bundleId](https://web.archive.org/web/20240727061427/https://docs.aws.amazon.com/lightsail/2016-11-28/api-reference/API_Bundle.html)) in a region (see Examples 2 and 3). Data transfer allowance is also aggregated for IPv4 and IPv6 instances of the same size (see Example 4). Deleting an instance and creating a new instance does not reset the data transfer allowance (see Example 5).  Example 1: Assume you have one $5/month instance bundle (or bundleId ‘nano_3_0’) with 1TB/month data transfer allowance. If you send 500GB of data to the Internet (data transfer OUT) and 400GB of data to the instance (data transfer IN), you will have consumed 900GB of your 1TB allowance. If you further send 200GB of data to the Internet, you will exceed your allowance by 100GB, and will be charged a data transfer OUT overage fee for 100GB. If you next send 200GB of data to the instance, you will not be charged for overage.  Example 2: If you have two $5/month instance bundles (or bundleId ‘nano_3_0’) for a full month in a region, each with 1TB/month data transfer allowance, you get 2TB data transfer allowance in aggregate. If you send 1.5TB of data to the Internet with the first instance and 100 GB of data to the Internet with the second instance, you will still be 400GB under your total allowance of 2TB, and you will not be charged any data transfer OUT overage fees.  Example 3: You create two sets of instance bundles: set A with two $5/month instance bundles (bundleId ‘nano_3_0’) and set B with three $7/month instance bundles (bundleId ‘micro_3_0’), both in US West (Oregon) Region. In aggregate, this gives you 2TB of data transfer allowance for set A, and 6TB of data transfer allowance for set B. If you transfer 3TB of data to the Internet through set A instances and 4TB of data to the Internet through Set B instances, you will exceed your data transfer allowance for Set A instances and will be charged a data transfer OUT overage fee for 1TB. You will still be within your allowance for Set B instances by 2TB.
Example 4: Assume you have consumed 600GB of the total 1TB data transfer allowance for your $3.5/month IPv6 instance bundle (bundleId ‘nano_ipv6_3_0’) within the first 20 days of the billing month. You decide to switch the networking type of your instance to dual-stack (bundleId ‘nano_3_0’ charged at $5/month price) on the 21st day. Your data transfer utilization for the month will not reset, and will remain at 600GB, with 400GB allowance left. During the remainder of the billing month, if you send 500GB of data to the Internet, you will accrue data transfer OUT overage charges for 100GB.
Example 5: You have three $5/month instance bundles (bundleId ‘nano_3_0’), each with 1TB/month data transfer allowance. Assume you have consumed 1TB of the total 3TB data transfer allowance within the billing month, which leaves you with 2TB of remaining data transfer allowance. If you delete all your instances, and create three new instances of the same bundle (bundleId ‘nano_3_0’) in the same region within the same billing month, your data transfer utilization will still be 1TB and remaining data transfer allowance will still be 2TB. You can transfer 2TB more data through your instances within the same month before you start accruing any data transfer OUT overage charges.
",Lightsail,Billing and account management
What if I exceed my data transfer plan allowance?,"
We have designed our data transfer plans so that the vast majority of our customers will be fully covered by their allowance and not incur any additional charges. Even if you exceed your data instance transfer allowance, some types of data transfer are free. Data transfer IN to Lightsail instances is always free. Data transfer OUT from a Lightsail instance to another Lightsail instance or AWS resource in the same Region is also free if private IP addresses are used.
",Lightsail,Billing and account management
What types of data transfer do I get charged for?,"
When you exceed the monthly free data transfer allowance of your instance plan, you will get charged for data transfer OUT from a Lightsail instance to the Internet or to another AWS Region or to AWS resources in the same Region when using public IP addresses. The charge for these types of data transfer above the free allowance is as follows:

US East (N. Virginia): $0.09 USD/GB
US East (Ohio): $0.09 USD/GB
US West (Oregon): $0.09 USD/GB
Canada (Central): $0.09 USD/GB
Europe (Frankfurt): $0.09 USD/GB
Europe (Ireland): $0.09 USD/GB
Europe (London): $0.09 USD/GB
Europe (Paris): $0.09 USD/GB
Europe (Stockholm): $0.09 USD/GB
Asia Pacific (Mumbai): $0.13 USD/GB
Asia Pacific (Singapore): $0.12 USD/GB
Asia Pacific (Sydney): $0.17 USD/GB
Asia Pacific (Tokyo): $0.14 USD/GB
Asia Pacific (Seoul): $0.13 USD/GB

Instances created in different Availability Zones can communicate between zones privately and for free, and are much less likely to be impaired concurrently. Availability Zones enable you to build highly available applications and websites without increasing the cost of data transfer or compromising your application's security.
When you exceed the data transfer allowance of your Lightsail CDN distribution plan, you are charged for all data transfer OUT. The charge for data transfer above your distribution’s allowance is different from Lightsail instances and is as follows:

Asia Pacific: $0.13 USD/GB
Australia: $0.17 USD/GB
Canada: $0.09 USD/GB
Europe: $0.09 USD/GB
India: $0.13 USD/GB
Japan: $0.14 USD/GB
Middle East: $0.11 USD/GB
South Africa: $0.11 USD/GB
South America: $0.11 USD/GB
United States: $0.09 USD/GB

",Lightsail,Billing and account management
How do my instance data transfer plan allowances vary by Region?,"
All AWS Regions have the same data transfer plan allowance as listed on amazonlightsail.com and amazonlightsail.com/pricing, with the exception of the Asia Pacific (Mumbai) and the Asia Pacific (Sydney) Regions. In these two AWS Regions, the data transfer plan allowance is as follows:

512 MB plan: 500 GB
1 GB plan: 1 TB
2 GB plan: 1.5 TB
4 GB plan: 2 TB
8 GB plan: 2.5 TB
16 GB plan: 3 TB
32 GB plan: 3.5 TB

",Lightsail,Billing and account management
How does my data transfer allowance work with my load balancers?,"
Your load balancer does not consume your data transfer allowance. Traffic between the load balancer and the target instances or distributions is metered and counts toward your data transfer allowance for your instances or distributions, in the same way that traffic in from and out to the internet is counted toward your data transfer allowance for Lightsail instances that are not behind a load balancer. Traffic into and out of your load balancer to the internet is not calculated toward the data transfer allowance for your instances.
",Lightsail,Billing and account management
What does Lightsail DNS management cost?,"
DNS management is free within Lightsail. You can create up to 6 DNS zones and as many records as you want for each DNS zone. You also get a monthly allowance of 3 million DNS queries per month to your zones. Beyond your first 3 million queries in a month, you are charged $0.40 USD/million DNS queries.
",Lightsail,Billing and account management
What do Lightsail snapshots cost?,"
Lightsail snapshots cost $0.05 USD/GB-month for both instance snapshots and for disk snapshots. This means if you take a snapshot of your 30 GB SSD instance and keep it for a month, you pay $1.50 USD at the end of the month.
When you take multiple successive snapshots of the same instance, Lightsail automatically cost-optimizes your snapshots. For each new snapshot you take, you're charged only for the part of the instance that changed. In the example above, if your instance only changes by 2 GB, your second instance snapshot costs only $0.10 USD per month.
",Lightsail,Billing and account management
What does Lightsail block storage cost?,"
Lightsail Block storage costs $0.10 USD per GB per month.
",Lightsail,Billing and account management
What do Lightsail load balancers cost?,"
Lightsail load balancers cost $18 per month.
",Lightsail,Billing and account management
What does certificate management cost?,"
Lightsail certificates and certificate management are free with use of a Lightsail load balancer.
",Lightsail,Billing and account management
Can I try Lightsail for free?,"
Yes! For a limited time new Amazon Lightsail customers get up to three months free on select bundles. This offer only applies to new accounts created after 7/8/21. See the [pricing page](https://web.archive.org/web/20240727061427/https://aws.amazon.com/lightsail/pricing/) for more information.
",Lightsail,Billing and account management
How can I manage my AWS account?,"
Lightsail is an AWS service and runs on the AWS trusted and proven cloud infrastructure. You use the same AWS account and credentials to log in to Lightsail and the AWS Management Console.
You can manage your AWS account, including changing your AWS account password, user name, contact information, or billing information from the [AWS Billing and Cost Management console](https://web.archive.org/web/20240727061427/https://console.aws.amazon.com/billing/home?fid=3BE5EA8FA64943AD-0284EED1954F5F15).
",Lightsail,Billing and account management
What are the Lightsail legal terms of use?,"
Lightsail is an Amazon web service, so to use Lightsail, you first agree to the [AWS Customer Agreement and Service Terms](https://web.archive.org/web/20240727061427/https://aws.amazon.com/legal/?fid=3BE5EA8FA64943AD-0284EED1954F5F15). When creating Lightsail instances, you also agree that your use of software is also subject to the end user license agreement of the seller, available for your review on the create instance page.
",Lightsail,Billing and account management
How can I pay my Lightsail bill?,"
You can pay and manage your bill through the AWS Billing and Cost Management console. AWS accepts most major credit cards. Learn more about [managing your payment methods](https://web.archive.org/web/20240727061427/https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/manage-payments.html?fid=3BE5EA8FA64943AD-0284EED1954F5F15).
",Lightsail,Billing and account management
What can I do with Lightsail for Research?,"
Lightsail for Research makes it easy for you to create powerful virtual computers on the cloud with your preferred applications like Scilab, RStudio, and Jupyter pre-installed. You can access the applications running on these virtual computers and upload or download data directly through a web browser from anywhere via internet. You can create and terminate these virtual computers at any time, meaning you can access virtual computers on-demand while paying only for the duration you use the virtual computers.
",Lightsail,Lightsail for Research
What applications are pre-installed for my research needs?,"
Lightsail offers popular pre-installed applications such as Scilab, RStudio, and Jupyter. Learn about all pre-installed applications available in [Lightsail for Research documentation](https://web.archive.org/web/20240727061427/https://docs.aws.amazon.com/lightsail-for-research/latest/ug/blueprints-plans.html). You can also install additional packages and extensions through the interface of these applications. Moreover, you have access to the underlying virtual computer and can configure the environment.
",Lightsail,Lightsail for Research
What resources are included in a Lightsail for Research bundle?,"
A Lightsail for Research bundle (virtual computer) includes a virtual private server with a fixed amount of memory (RAM) and compute (vCPUs), SSD-based storage (disks), and a data transfer allowance. Lightsail features such as block storage, instance and disk snapshots, SSH access, remote desktop access (using NICE DCV), and APIs can be used with Lightsail for Research virtual computers. Lightsail features such as static IPs, DNS management, object storage, load balancers, containers, databases, and CDN distributions are not applicable and cannot be used with Lightsail for Research virtual computers.
",Lightsail,Lightsail for Research
What type of virtual computers does Lightsail offer?,"
Lightsail for Research offers two types of virtual computers: non-GPU and GPU. For researchers who are using applications or analyzing data that do not need a GPU, we recommend using the non-GPU virtual computer. For researchers who are using analytical techniques like neural networks or are running advanced simulations, we recommend the GPU virtual computer.
",Lightsail,Lightsail for Research
What can I do with Lightsail block storage?,"
Lightsail block storage provides additional storage volumes (called “attached disks” in Lightsail) that you can attach to your Lightsail instance, similar to an individual hard drive. Attached disks are useful for applications or software that need to separate out specific data from their core service and to protect application data in case of a failure or other issue with your instance and system disk. Attached disks offer consistent performance and low latency needed for applications or software that frequently access their stored data.
Lightsail block storage uses solid-state drives (SSD). This type of block storage balances a low price and good performance and is intended to support the vast majority of workloads that run on Lightsail. For customers with applications that require sustained IOPS performance, high amounts of throughput per disk, or that are running large databases like MongoDB, Cassandra, etc., we recommend using EC2 with GP2 or Provisioned IOPS SSD storage instead of Lightsail.
",Lightsail,Lightsail block storage
How large can I make my attached disk?,"
Each attached disk can be up to 16 TB.
",Lightsail,Lightsail block storage
How many disks can I attach per Lightsail instance?,"
You can attach up to 15 disks per Lightsail instance.
",Lightsail,Lightsail block storage
Can I attach a disk to more than 1 instance?,"
No, disks can only be attached to one instance at a time.
",Lightsail,Lightsail block storage
Does my disk need to be attached to an instance?,"
No, you can choose not to attach a disk to an instance. The disk will remain in your account in an unattached state. There is no difference in price if your disk is not attached to an instance.
",Lightsail,Lightsail block storage
Can I increase the size of my attached disk?,"
Yes, you can increase the size of a disk by taking a disk snapshot and then creating a new, larger disk from snapshot.
",Lightsail,Lightsail block storage
Does Lightsail block storage offer encryption?,"
Yes, to help keep your data secure, all Lightsail attached disks and disk snapshots are encrypted at rest by default, using keys that Lightsail manages on your behalf. Lightsail also provides encryption of data as it moves between Lightsail instances and attached disks.
",Lightsail,Lightsail block storage
